Age_Anciennete;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
20;10000;4413.85;2675.95;1939.44;1535.61;1256.41;1035.74;856.24;709.38;586.93;488.6;416.74;363.55;319.75;280.18;246.99;223.11;207.61;195.65;183.93;168.38;150.35;135.28;119.98;103.77;88.87;80.22;75.81;73.56;69.54;64;57.29;49.85;42.13;33.03;23.89
21;10000;4638.12;2854.68;2064.47;1614.79;1304.64;1068.1;880.66;731.17;612.8;519.18;446.33;388.66;341.91;301.82;269.6;245.72;227.56;212.56;198.38;183.68;168.18;153.62;138.69;123.7;110.22;99.81;92.53;87.24;80.12;71.64;62.32;52.7;43.28;32.74;22.69
22;10000;4848.15;3023.99;2172.64;1677.86;1342.61;1091.14;896.41;745.45;627.79;534.57;461.4;401.87;354.8;316.84;285.86;259.65;237.56;218.59;201.92;187;172.2;158.05;144.99;132.3;120.41;109.68;100.41;93.5;84.85;74.98;64.48;53.92;43.81;32.7;22.33
23;10000;5026.38;3169.2;2274.14;1745.82;1385.95;1119.78;917.41;762.83;643.61;550.17;475.83;415.34;367.28;327.96;294.82;265.57;240.63;219.73;201.69;186.39;172.22;158.9;147.76;137.13;126.99;117.83;109.63;102.95;94.72;85.37;75.32;65.04;54.94;43.45;32.12
24;10000;5159.47;3286.4;2367.42;1814.86;1433.51;1154.72;946.14;788.67;667.36;571.92;495.44;432.51;381.09;337.8;300.63;268.2;241.04;218.92;200.73;185.85;172.57;160.58;150.11;140.52;131.66;123.01;115.03;108.56;100.74;91.9;82.39;72.56;62.77;51.41;39.86
25;10000;5272.99;3394.59;2456.36;1886.06;1489.34;1197.93;981.6;819.19;694.45;596.13;516.71;451.91;398.44;352.39;312.24;277.85;249.06;225.86;207.41;192.05;178.75;166.95;156.04;145.75;136.66;127.94;119.69;112.65;104.28;94.92;84.93;74.67;64.5;52.75;40.84
26;10000;5356.81;3478.06;2528.17;1943.73;1534.48;1232.81;1009.17;842.96;716.42;616.8;535.84;469.84;415.4;368.59;327.74;291.99;262.27;238.2;218.78;202.49;188.68;176.15;164.45;153.06;143.02;133.97;125.23;117.27;108.03;97.87;87.16;76.3;65.62;53.39;41.1
27;10000;5426.77;3549.94;2589.51;1996.22;1580.12;1272.36;1044.3;874.96;745.39;643.35;560.74;492.61;436.46;388.73;347.74;311.43;280.74;255.13;234.3;216.69;202.2;188.92;175.82;163;151.59;141.5;131.95;123.01;113.17;102.71;91.95;81.18;70.67;58.64;46.43
28;10000;5476.79;3604.3;2640.73;2043.21;1623.16;1312.75;1082.53;910.5;778.75;674.73;590.66;520.7;462.45;412.95;370.74;334.1;301.67;273.4;250.06;230.69;214.62;200.79;187.13;173.8;161.29;149.98;139.75;130.17;119.76;108.81;97.61;86.44;75.56;63.11;50.43
29;10000;5525.67;3654.03;2687.39;2087.12;1665.73;1354.36;1122.72;948.3;812.55;704.73;617.87;545.95;485.53;434.28;390.72;352.48;318.67;289.22;263.59;242.33;224.66;209.5;194.98;181.14;167.77;155.53;144.73;134.77;124.07;112.92;101.59;90.33;79.36;66.81;53.97
30;10000;5567.26;3699.11;2730.92;2128.53;1704.2;1390.56;1155.52;977.19;838.14;727.62;638.61;564.83;502.96;450.43;405.11;364.59;329.23;298.42;271.7;249.7;230.95;214.24;198.39;183.61;169.76;156.74;145.31;134.93;123.98;112.73;101.41;90.24;79.43;67.09;54.49
31;10000;5613.56;3749.05;2779.88;2173.36;1744.46;1426.66;1188.87;1008.7;867.77;754.8;663.2;587;523.5;469.18;421.39;378.75;341.54;308.97;282.03;260.03;240.7;222.77;205.21;188.77;173.88;160.38;148.49;137.29;125.55;113.55;101.56;89.8;78.5;65.7;52.75
32;10000;5644.83;3791.5;2823.22;2214.49;1784.18;1463.9;1223.67;1041.83;898.53;782.72;688.22;609.38;543.33;487.07;438.25;394.89;356.57;323.15;296.03;273.49;253.37;234.31;215.64;197.99;182.06;167.63;154.49;142.38;129.8;117.03;104.35;91.99;80.18;66.86;53.46
33;10000;5669.53;3822.69;2856.94;2249.97;1820.8;1500.68;1259.74;1077.04;931.33;811.87;713.47;631.12;562.11;504.67;455.94;413.11;375.65;342.9;315.01;290.74;268.78;248.53;229.53;211.79;194.96;178.96;164.43;151.37;137.73;123.86;110.06;96.62;83.8;69.38;54.95
34;10000;5654.43;3815.44;2859.05;2261.74;1839.83;1524.91;1286.21;1102.58;955.63;834.14;732.91;648.31;578;520.25;472.26;430.45;393.86;361.43;332.74;306.89;283.36;262.17;242.75;224.28;206.33;189.32;174.02;160.29;146.06;131.64;117.33;103.42;90.13;75.16;60.11
35;10000;5629.27;3790.74;2843.62;2258.8;1847.77;1540.51;1305.38;1121.7;973.82;852.58;752.04;668.07;597.88;540.01;491.73;449.61;412.46;378.7;348.64;321.59;297.16;274.97;254.79;235.71;217.49;200.65;185.15;170.88;156.03;140.93;125.9;111.23;97.18;81.3;65.27
36;10000;5580.92;3747.13;2813.2;2242.46;1843.55;1545.21;1316.59;1136.23;990.7;870.98;771.37;687.18;617.36;559.11;509.59;466.05;427.47;392.47;360.31;332.02;306.79;284.03;263.15;243.51;224.81;208.05;192.93;178.74;163.74;148.3;132.77;117.48;102.73;85.97;68.98
37;10000;5548.33;3717.09;2792.09;2231.41;1842.3;1551.3;1329;1154.22;1011.59;892.32;792;707.73;637.36;577.97;527.31;482.57;442.92;406.83;374.17;344.81;318.7;295.09;272.95;251.87;232.16;214.64;199.47;185.84;170.95;155.23;139.13;123.05;107.37;89.43;71.2
38;10000;5531.25;3702.87;2784.28;2231.12;1848.53;1563.14;1344.92;1173.74;1033.63;914.63;813.09;727.59;655.47;594.25;542.6;497.5;457.77;421.71;388.72;359.23;333.19;309.05;285.52;262.75;241.72;223.01;206.79;192.6;177.04;160.57;143.68;126.81;110.37;91.59;72.55
39;10000;5531.57;3704.91;2791.24;2243.39;1867.05;1588.01;1371.59;1200.11;1060.38;942.01;840.62;752.97;677.51;613.34;559.18;512.52;471.22;434.05;400.75;371.19;344.91;320;295.51;271.85;249.56;229.67;212.39;196.92;180.14;162.55;144.67;126.95;109.84;90.43;73.94
40;10000;5542.69;3714.9;2802.83;2259.25;1887.64;1611.34;1396.23;1224.86;1085.71;969.25;868.19;779.56;702.12;635.48;578.95;529.87;486.44;447.96;414.16;383.83;356.52;330.62;305.6;281.64;259.65;239.69;221.52;204.74;186.67;167.88;148.88;130.18;112.2;91.93;78.69
41;10000;5572.1;3741.38;2824.39;2279.19;1909.47;1634.79;1420.31;1250.4;1112.17;995.62;894.55;805.42;728.17;661.67;603.61;551.94;506.16;466.5;431.98;400.6;371.85;345.24;320.15;296.26;274.3;254.52;235.81;217.73;198.63;179.01;159.36;140.1;121.62;100.77;79.82
42;10000;5605.71;3774.01;2853.07;2305.37;1935.12;1660.37;1447.64;1278.11;1139.07;1021.51;920.08;831.02;754.12;688.16;629.65;576.11;528.37;487;450.74;417.94;387.8;360.21;334.8;311.25;289.36;269;249.4;230.29;210.15;189.49;168.79;148.52;129.08;107.11;85.03
43;10000;5637.42;3808.52;2884.79;2336;1965.32;1690.64;1477.48;1307.66;1167.27;1047.71;944.67;855.02;778.22;711.48;651.86;597.01;547.61;504.52;466.92;433.01;402.4;374.32;348.39;324.28;301.76;280.21;259.28;239.13;217.98;196.35;174.76;153.67;133.47;110.7;87.85
44;10000;5651.96;3826.6;2905.55;2359.67;1989.26;1714.9;1502.36;1331.99;1190.02;1068.85;964.42;873.72;796.06;728.11;666.86;610.66;560.66;516.99;478.58;444.57;413.92;385.93;359.69;334.85;311.06;288.13;266.03;244.91;223.12;201.14;179.4;158.3;138.16;115.49;92.68
45;10000;5665.8;3846.07;2931.46;2388.51;2019.45;1746.19;1535.38;1365.33;1221.98;1099.1;993.17;901.12;820.84;750.87;688.17;631.09;580.34;535.82;496.13;461.15;430.3;401.71;374.52;348.45;323.02;298.18;274.54;252.36;229.67;206.92;184.53;162.88;142.29;119.14;97.86
46;10000;5716.22;3905.44;2989.11;2443.49;2074.88;1801.58;1588.82;1417.65;1273;1147.84;1039.23;944.37;861.44;788.86;724.01;665.05;611.72;564.46;522.26;484.92;451.5;421.4;393.56;366.67;339.5;312.65;287.35;264.5;240.98;217.3;193.9;171.21;149.56;125.18;100.65
47;10000;5786.46;3983.52;3065.03;2517.32;2147.16;1872.34;1657.23;1483.11;1336.81;1209.83;1098.65;999.97;913.61;838.31;770.35;708.6;653.04;603.15;558.42;517.57;480.71;448.02;418.44;390.24;362.03;333.76;307.09;283.18;258.49;233.55;208.84;184.79;161.79;135.82;109.58
48;10000;5872.4;4077.81;3157.14;2603.84;2225.94;1944.85;1725.72;1549.82;1402.82;1275.28;1162.3;1060.59;971.03;891.95;820.88;756.4;698.93;647.03;599.41;555.28;515.32;480.11;448.22;417.7;387.86;358.38;329.94;304.24;277.76;251.04;224.6;198.89;174.3;146.54;118.47
49;10000;5982.7;4199.75;3274.51;2712.88;2327;2038.2;1812.92;1632.91;1482.1;1351.73;1236.01;1131.82;1038.65;954.55;878.57;810.07;749.32;695.08;644.57;597.84;555.71;517.88;483.12;449.83;417.07;384.95;354.35;326.02;297.39;268.94;241.1;214.25;188.71;159.94;130.81
50;10000;6097.21;4335.49;3408.72;2841.26;2447.04;2149.65;1917.54;1730.8;1574.67;1439.58;1319.72;1211.97;1114.96;1027.1;946.81;873.95;809.1;751.81;699.05;650.59;606.68;566.14;527.92;490.95;454.59;419.06;384.97;353.08;321.45;290.48;260.55;231.94;204.91;174.59;143.95
51;10000;6217.13;4478.53;3549.59;2973.97;2571.28;2267.31;2029.09;1836.71;1674.18;1532.93;1407.79;1295.53;1193.48;1100.2;1014.72;936.96;868.21;806.73;751.09;700.74;654.25;610.29;568.11;527.55;487.56;449.1;412.18;377.5;343.17;309.63;277.27;246.4;217.3;184.72;151.88
52;10000;6349.4;4631.49;3699.2;3115.83;2705.8;2395.09;2150.68;1952.3;1784.32;1637.52;1506.69;1387.27;1278.34;1178.37;1086.91;1003.31;928.79;862.55;803.37;749.71;699.32;651.41;605.62;561.25;517.59;475.94;436.4;399.35;362.69;326.9;292.4;259.52;228.56;193.94;159.1
53;10000;6477.43;4778.41;3843.37;3253.69;2837.03;2520.29;2270.43;2065.67;1892.43;1741.81;1607.35;1482.59;1367.63;1261.39;1163.62;1074.32;993.65;921.1;855.67;795.82;740.04;687.2;637.28;589.36;543.18;498.9;456.07;415.7;376.2;338.01;301.5;266.97;234.65;198.74;162.77
54;10000;6592.42;4917.13;3983.4;3387.73;2966;2646.09;2392.36;2182.32;2005.23;1852.03;1713.34;1583.82;1462.68;1349.38;1243.91;1146.42;1058.54;979.69;907.95;841.28;778.64;720.09;665.86;615.35;567.12;520.14;473.98;430.51;388.32;347.82;309.36;273.2;239.55;202.34;165.27
55;10000;6689.7;5043.24;4116.64;3524.02;3102.02;2779.67;2522.46;2309.26;2129.29;1972.6;1829.75;1694.24;1565.88;1444.07;1329.16;1222.98;1128.26;1042.88;964.39;891.54;823;759.73;702.18;649.4;598.41;547.54;497.46;450.84;405.79;362.72;321.96;283.78;248.37;209.32;170.54
56;10000;6777.67;5153.72;4236.68;3647.02;3225.08;2899.21;2636.46;2419.71;2235.02;2072.54;1924.78;1784.84;1650.85;1521.98;1398.58;1284.61;1184;1093.44;1009.96;932.31;860.57;794.3;734.47;679.78;626.82;574.1;522.41;475.18;429.08;384.61;342.21;302.22;264.91;223.56;182.31
57;10000;6844.67;5241.38;4326.98;3736.21;3309.99;2979.46;2712.96;2492.1;2301.86;2133.79;1980.98;1836.83;1698.72;1564.6;1436.75;1317.57;1212.51;1118.93;1034.21;956.23;883.78;818.07;758.72;703.74;650.69;598.25;547.6;501.44;455.93;411.61;368.95;328.32;290.06;247.24;204.03
58;10000;6872.34;5275.35;4357.95;3761.87;3331.08;2996.83;2727.8;2503.17;2308.04;2133.57;1973.83;1824.32;1684.65;1551.92;1426.04;1308.4;1203.56;1111.08;1028.52;953.63;885.05;822.46;765.18;712.57;662.51;614.36;567.78;525.25;482.56;440.26;398.87;358.82;320.51;276.99;232.3
59;10000;6837.77;5221.96;4295.32;3693.81;3260.72;2924.09;2653.31;2425.44;2227.22;2048.87;1885.46;1734.19;1598.42;1473.69;1357.6;1250.5;1153.96;1068.86;992.87;923.62;859.63;800.32;746.79;699.01;654.72;613.27;572.68;534.74;496.18;457.47;419.09;381.47;344.97;302.93;259
60;10000;6777.22;5130.32;4187.29;3576.29;3137.73;2798.88;2525.94;2295.6;2095.64;1920.58;1762.66;1617.8;1489.98;1376.87;1275.3;1182.11;1098.64;1024.69;958.43;897.66;838.75;783.83;733.35;689.08;649.41;612.33;576.07;541.76;506.27;470.09;433.68;397.52;361.99;320.59;276.75
61;10000;6747.38;5064.8;4101.32;3487.68;3049.29;2713.91;2443.41;2215.54;2019.1;1848.67;1697.85;1562.46;1443.54;1338.22;1243.38;1155.11;1077.46;1009.45;948.61;891.72;836.59;784.03;734.68;690.1;651.11;614.17;578.16;542.73;506.79;470.74;434.93;399.7;365.36;325.53;283.44
62;10000;6710.3;4997.93;4014.24;3396.09;2965.43;2639.15;2376.95;2159.27;1972.59;1808.09;1663.14;1533.67;1419.53;1319.36;1228.49;1141.04;1062.05;993.32;933.9;880;828.23;776.46;724.77;676.23;634.29;597.16;562.77;528.38;492.81;456.57;420.16;384.04;348.64;307.48;264.06
63;10000;6698.08;4975.19;3982.71;3358.49;2926.43;2603.97;2346.53;2133.55;1952.1;1790.26;1647.52;1517.33;1404.51;1306.24;1212.68;1119.96;1034.34;958.17;895.04;842.58;791.43;736.02;677.77;625.1;580.23;545.2;515.65;486.63;454.71;420.63;385.18;349.13;313.19;270.99;226.5
64;10000;6667.83;4949.99;3963.34;3334.75;2894.75;2568.66;2312.75;2098.67;1914.87;1754.39;1616;1487.03;1372.88;1270.16;1166.37;1063.9;968.05;879.76;806.63;747.79;694.66;641.46;587.22;538.09;500.1;468.85;442.49;421.91;397.49;369.97;340.16;308.88;276.97;238.86;198.23
65;10000;6647.1;4930.55;3957.17;3324.55;2879.51;2536.72;2271.38;2045.56;1855.82;1692.84;1559.51;1442.78;1335.28;1227.4;1116.4;1004.33;894.71;792.76;702.02;633.01;586.29;547.51;508.57;473.73;439.94;404.99;382.61;370.56;356.43;340.5;323.03;304.33;284.7;260.42;233.11
