age_x;Lx;Qx;Px
0;100000;0.00327;0.99673
1;99673;0.00027;0.99973
2;99646;0.00016;0.99984
3;99630;0.00012;0.99988
4;99618;0.00009;0.99991
5;99609;0.00009;0.99991
6;99600;0.00007;0.99993
7;99593;0.00008;0.99992
8;99585;0.00007;0.99993
9;99578;0.00006;0.99994
10;99572;0.00007;0.99993
11;99565;0.00007;0.99993
12;99558;0.00007;0.99993
13;99551;0.0001;0.9999
14;99541;0.00011;0.99989
15;99530;0.00011;0.99989
16;99519;0.00013;0.99987
17;99506;0.00014;0.99986
18;99492;0.00019;0.99981
19;99473;0.00021;0.99979
20;99452;0.00023;0.99977
21;99429;0.0002;0.9998
22;99409;0.00022;0.99978
23;99387;0.00021;0.99979
24;99366;0.0002;0.9998
25;99346;0.00024;0.99976
26;99322;0.00027;0.99973
27;99295;0.00025;0.99975
28;99270;0.00029;0.99971
29;99241;0.0003;0.9997
30;99211;0.00032;0.99968
31;99179;0.00032;0.99968
32;99147;0.00035;0.99965
33;99112;0.00039;0.99961
34;99073;0.0004;0.9996
35;99033;0.00044;0.99956
36;98989;0.00052;0.99948
37;98938;0.00063;0.99937
38;98876;0.00067;0.99933
39;98810;0.00068;0.99932
40;98743;0.00078;0.99922
41;98666;0.00089;0.99911
42;98578;0.00095;0.99905
43;98484;0.00108;0.99892
44;98378;0.0012;0.9988
45;98260;0.00132;0.99868
46;98130;0.00153;0.99847
47;97980;0.00161;0.99839
48;97822;0.00181;0.99819
49;97645;0.00194;0.99806
50;97456;0.00213;0.99787
51;97248;0.00235;0.99765
52;97019;0.00248;0.99752
53;96778;0.00266;0.99734
54;96521;0.00296;0.99704
55;96235;0.00318;0.99682
56;95929;0.00338;0.99662
57;95605;0.00364;0.99636
58;95257;0.00386;0.99614
59;94889;0.0041;0.9959
60;94500;0.00439;0.99561
61;94085;0.00467;0.99533
62;93646;0.00499;0.99501
63;93179;0.00525;0.99475
64;92690;0.00562;0.99438
65;92169;0.00602;0.99398
66;91614;0.0063;0.9937
67;91037;0.00681;0.99319
68;90417;0.00765;0.99235
69;89725;0.00819;0.99181
70;88990;0.00891;0.99109
71;88197;0.00967;0.99033
72;87344;0.01075;0.98925
73;86405;0.01185;0.98815
74;85381;0.013;0.987
75;84271;0.01469;0.98531
76;83033;0.0166;0.9834
77;81655;0.01837;0.98163
78;80155;0.02075;0.97925
79;78492;0.02409;0.97591
80;76601;0.02781;0.97219
81;74471;0.032;0.968
82;72088;0.03672;0.96328
83;69441;0.0428;0.9572
84;66469;0.04947;0.95053
85;63181;0.05779;0.94221
86;59530;0.06686;0.93314
87;55550;0.07609;0.92391
88;51323;0.08735;0.91265
89;46840;0.1007;0.8993
90;42123;0.11547;0.88453
91;37259;0.13213;0.86787
92;32336;0.15036;0.84964
93;27474;0.16896;0.83104
94;22832;0.18579;0.81421
95;18590;0.20516;0.79484
96;14776;0.23234;0.76766
97;11343;0.25425;0.74575
98;8459;0.27568;0.72432
99;6127;0.2977;0.7023
100;4303;0.31861;0.68139
101;2932;0.34686;0.65314
102;1915;0.36501;0.63499
103;1216;0.39227;0.60773
104;739;1;0
