Age_Anciennete;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
20;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;18.27
21;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;18.27
22;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;18.27
23;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;20.72
24;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;23.26
25;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;25.88
26;0.67;0.62;0.55;0.46;0.37;0.28;0.2;0.14;0.09;0.05;0.04;0.03;0.04;0.06;0.08;0.11;0.13;0.15;0.16;0.17;0.17;0.16;0.15;0.14;0.14;0.15;0.19;0.27;0.4;0.61;0.92;1.35;1.94;2.72;3.73;28.59
27;0.71;0.66;0.58;0.48;0.38;0.27;0.18;0.1;0.04;0;0;0;0;0.03;0.07;0.11;0.16;0.2;0.24;0.28;0.3;0.33;0.34;0.36;0.38;0.42;0.48;0.59;0.75;0.98;1.32;1.79;2.42;3.25;4.33;31.38
28;0.77;0.77;0.72;0.63;0.53;0.42;0.31;0.22;0.15;0.09;0.06;0.05;0.06;0.09;0.13;0.19;0.25;0.31;0.37;0.43;0.49;0.54;0.59;0.64;0.7;0.78;0.88;1.02;1.22;1.5;1.88;2.39;3.07;3.96;5.09;34.25
29;0.86;0.89;0.86;0.78;0.67;0.56;0.45;0.35;0.27;0.22;0.19;0.18;0.19;0.23;0.29;0.35;0.43;0.51;0.6;0.68;0.76;0.84;0.92;1;1.08;1.19;1.31;1.49;1.71;2.03;2.44;3;3.73;4.67;5.88;37.21
30;0.96;1.02;1;0.92;0.82;0.71;0.59;0.49;0.41;0.36;0.33;0.33;0.35;0.4;0.47;0.55;0.65;0.76;0.86;0.97;1.08;1.19;1.29;1.4;1.51;1.64;1.79;1.99;2.25;2.59;3.04;3.63;4.4;5.4;6.66;40.25
31;1.07;1.15;1.14;1.08;0.98;0.87;0.76;0.67;0.59;0.54;0.52;0.53;0.57;0.64;0.72;0.83;0.95;1.08;1.21;1.34;1.47;1.59;1.71;1.84;1.96;2.11;2.28;2.49;2.77;3.13;3.62;4.25;5.08;6.15;7.51;43.37
32;1.18;1.29;1.3;1.24;1.15;1.05;0.94;0.85;0.79;0.75;0.74;0.77;0.82;0.91;1.02;1.15;1.29;1.44;1.6;1.75;1.9;2.04;2.18;2.31;2.45;2.61;2.79;3.02;3.31;3.7;4.21;4.89;5.77;6.91;8.37;46.58
33;1.3;1.43;1.46;1.41;1.33;1.23;1.13;1.05;0.99;0.96;0.97;1.01;1.09;1.2;1.33;1.49;1.65;1.83;2.01;2.18;2.35;2.51;2.67;2.82;2.98;3.15;3.34;3.58;3.89;4.3;4.84;5.55;6.48;7.68;9.23;49.87
34;1.42;1.58;1.62;1.59;1.52;1.43;1.34;1.27;1.23;1.22;1.25;1.32;1.42;1.55;1.71;1.89;2.09;2.29;2.49;2.69;2.87;3.05;3.21;3.37;3.53;3.7;3.9;4.15;4.47;4.89;5.45;6.2;7.19;8.48;10.14;53.24
